0.	1.0020043825347207
0.625	1.0032429621252938
1.25	1.0051513221023176
1.875	1.008014703942037
2.5	1.0122330970223334
3.125	1.018306931818792
3.75	1.026897933485618
4.375	1.038798429972266
5.	1.0550099768157148
5.625	1.0766915210453216
6.25	1.1052527137592645
6.875	1.1422874986802352
7.5	1.1896677493940058
8.125	1.2494712992228902
8.75	1.3240306170139653
9.375	1.415842869068098
10.	1.527462295208777
10.625	1.6613160338843442
11.25	1.8192272815045727
11.875	2.0019837100922917
12.5	2.2082709422295137
13.125	2.4340211569240826
13.75	2.671128167104641
14.375	2.9076142473097
15.	3.127927156958494
15.625	3.315747573740126
16.25	3.4568500368205597
16.875	3.5427684743957055
17.5	3.5722380946952375
18.125	3.5508471700481343
18.75	3.488761677922937
19.375	3.3977869332000337
20.	3.2892186192372668
20.625	3.1722649574958997
21.25	3.053846432781391
21.875	2.9385229313467356
22.5	2.829121250673238
23.125	2.727051374081301
23.75	2.632868197416483
24.375	2.5465042048546342
25.	2.467587193574857
25.625	2.3955493579748453
26.25	2.329771409975106
26.875	2.2696197607264854
27.5	2.2145005047414545
28.125	2.1638649443088864
28.75	2.1172242650897233
29.375	2.074143956492517
30.	2.034244112181177
30.625	1.9971914872972003
31.25	1.9626959854732786
31.875	1.9305034354517037
32.5	1.9003920371289384
33.125	1.8721665704898804
33.75	1.8456557808145901
34.375	1.8207079022703418
35.	1.7971890011911413
35.625	1.7749795031924667
36.25	1.7539732778547523
36.875	1.7340748823718892
37.5	1.7151991720538273
38.125	1.6972690456296424
38.75	1.6802154195876364
39.375	1.6639753253062588
40.	1.6484921356456534
40.625	1.6337139113303185
41.25	1.6195938048456116
41.875	1.6060885854400768
42.5	1.593159170070863
43.125	1.5807692776046156
43.75	1.5688860529113822
44.375	1.5574788149821377
45.	1.5465197511665514
45.625	1.5359827334757457
46.25	1.5258440673153804
46.875	1.5160813567845568
47.5	1.506674297303353
48.125	1.4976035752657144
48.75	1.4888516974810608
49.375	1.4804019137351336
50.	1.472239078464474
50.625	1.4643485870464799
51.25	1.456717266933165
51.875	1.449332320108648
52.5	1.4421822422428845
53.125	1.435255764908494
53.75	1.428542802325397
54.375	1.4220333877450515
55.	1.4157186481441364
55.625	1.4095897297509645
56.25	1.4036388016810146
56.875	1.3978579659569603
57.5	1.3922402916122074
58.125	1.3867787047838893
58.75	1.3814670552783763
59.375	1.3762989824257015
60.	1.3712690165302202
60.625	1.366371416184033
61.25	1.3616013074385065
61.875	1.3569534881951868
62.5	1.3524236083471122
63.125	1.3480069367069232
63.75	1.343699585794464
64.375	1.3394972365257034
65.	1.3353964117791097
65.625	1.3313931537570665
66.25	1.3274843509587577
66.875	1.3236663627344298
67.5	1.319936404841073
68.125	1.3162911152330237
68.75	1.3127280039924372
69.375	1.3092439538285863
70.	1.305836740871631
70.625	1.3025034626769527
71.25	1.299242137166651
71.875	1.296050050136903
72.5	1.2929254405465471
73.125	1.2898657585877322
73.75	1.2868694465786412
74.375	1.2839340975542237
75.	1.2810583422502446
75.625	1.2782398968726998
76.25	1.2754775680973858
76.875	1.2727691771453788
77.5	1.2701136964101467
78.125	1.2675090351542684
78.75	1.2649543233692744
79.375	1.2624475422567691
80.	1.2599879732906654
80.625	1.2575736540793523
81.25	1.2552040134215856
81.875	1.2528771300699504
82.5	1.2505925779577347
83.125	1.248348461676101
83.75	1.246144500138265
84.375	1.2439788080875966
85.	1.2418512514339246
85.625	1.2397599386247395
86.25	1.2377048869668354
86.875	1.235684180949734
87.5	1.23369799635066
88.125	1.2317443742368515
88.75	1.2298236589094789
89.375	1.2279338258164345
90.	1.226075400815907
90.625	1.2242462668110075
91.25	1.222447145622533
91.875	1.22067579048374
92.5	1.2189331274059922
93.125	1.2172167164835306
93.75	1.2155276641273718
94.375	1.2138632021096682
95.	1.212224487687035
95.625	1.2106081030090954
96.25	1.2090148416993405
96.875	1.2074398792073406
97.5	1.205882580051638
98.125	1.2043350673987656
98.75	1.2027929569505829
99.375	1.201242156999478
100.	1.1996702495709133
100.625	1.198051755204427
101.25	1.1963596841129198
101.875	1.1945504080203884
102.5	1.1925747407908982
103.125	1.1903650275268065
103.75	1.1878449210535171
104.375	1.1849229352697013
105.	1.181499568607502
105.625	1.1774723373800657
106.25	1.1727376799594187
106.875	1.1672110033297205
107.5	1.160819107091395
108.125	1.1535343792577464
108.75	1.1453530434304455
109.375	1.1363366258204877
110.	1.126574909628575
110.625	1.1162232957055718
111.25	1.1054574788070737
111.875	1.094495264532588
112.5	1.083557720726877
113.125	1.0728691911848545
113.75	1.0626393601685116
114.375	1.0530439510701979
115.	1.044231871291676
115.625	1.036297294020778
116.25	1.029303467940475
116.875	1.023259342068197
117.5	1.018146320467605
118.125	1.0139075232423653
118.75	1.010467473515363
119.375	1.0077337835766338
120.	1.0056067606597396
120.625	1.0039878554502792
121.25	1.002781035096963
121.875	1.0019019427213272
122.5	1.001274476217887
123.125	1.00083728660251
123.75	1.0005386319225562
124.375	1.0003396770885926
125.	1.000210086708378
